Gene_1,Gene_2
TIGD2,NOCT
TMEM150C,USO1
TMEM150C,CDS1
TMEM150C,CDKL2
TMEM150C,MGST2
TNIP3,SLC39A8
TNIP3,NDNF
TNIP3,NFKB1
TNIP3,CXCL1
TRAM1L1,TSPAN5
TRAM1L1,OSTC
UBE2D3,NOCT
UBE2D3,PCDH18
UBE2D3,SLC39A8
UBE2D3,PPP3CA
UBE2D3,RAB33B
UBE2D3,RASGEF1B
UNC5C,ANTXR2
UNC5C,SLC39A8
UNC5C,ANXA3
UNC5C,LARP1B
UNC5C,SHROOM3
UNC5C,IL15
USO1,TSPAN5
USO1,BLTP1
USP38,INTU
USP38,CXCL1
USP38,IL15
USP38,OTUD4
USP38,UBE2D3
USP38,SMARCA5
USP38,TET2
USP38,FAT4
USP38,G3BP2
USP38,KLHL8
USP38,ADH1C
USP38,ANTXR2
USP38,PKD2
WDFY3,SCD5
WDFY3,PARM1
WDFY3,LARP7
WDFY3,MAML3
WDFY3,BLTP1
WDFY3,PYURF
WDFY3-AS2,PGRMC2
ZGRF1,ANXA5
ZGRF1,CCNI
ZGRF1,C4orf3
ZGRF1,BLTP1
ZGRF1,ADH5
ZGRF1,ABHD18
ZGRF1,INTU
ZGRF1,BMP3
ZGRF1,CDS1
ZGRF1,PGRMC2
ZGRF1,PPM1K
ZGRF1,MFSD8
ZGRF1,HNRNPDL
ZNF330,CXCL1
ZNF330,ANKRD50
