protein1,protein2
NUP54,NUP85
NUP54,CCNB2
NUP54,HSPA8
NUP54,NUP93
NUP54,HSPA14
NUP54,NUP35
NUP54,SYMPK
NUP54,NUP62CL
NUP54,SLBP
NUP54,GEMIN8
NUP54,FIP1L1
NUP54,SNRPD2
NUP54,HSPA4
NUP54,NUP188
NUP54,NEK9
NUP54,HSPA6
NUP54,NUP133
NUP54,INCENP
NUP54,AURKB
NUP54,SUMO3
NUP54,TOP2A
NUP54,SNRPE
NUP54,HSPA12B
NUP54,CPSF2
NUP54,SNRPD1
NUP54,GEMIN5
NUP54,NUP153
NUP54,NCOA5
NUP54,NUPL1
NUP54,SUMO2
NUP54,RAN
NUP54,XPOT
NUP54,SNRPD3
NUP54,GEMIN7
NUP54,SNRPG
NUP54,HSPA1L
NUP54,CCNB1
NUP54,RANBP2
SCARB2,GBA
PDCD6,SEC31A
PDCD6,SEC24D
PDCD6,SEC24B
XRN1,LSM6
MRPL3,MRPS18C
MRPL3,MRPL1
SSR3,OSTC
MCM2,MAD2L1
MCM2,CCNA2
RAB7A,CXCL8
GOLPH3,SEC24B
FBXW11,PLK4
CENPE,CCNA2
CENPE,PLK4
CENPE,MAD2L1
ENPEP,CD4
ENPEP,CANX
ENPEP,AGT
CASP6,NGF
CASP6,KRT18
CASP6,SATB1
CASP6,EIF4E
CASP6,BDNF
CASP6,CASP2
CASP6,TFAP2A
CASP6,NUMA1
CASP6,EIF4G2
CASP6,LMNB1
CASP6,NGFR
CASP6,LMNB2
CASP6,CASP3
CASP6,BIRC2
CASP6,APP
CASP6,LMNA
CASP6,TP53
CASP6,EIF4G3
CASP6,APAF1
CASP6,TOP1
CASP6,VIM
CASP6,PTK2
CASP6,CASP9
CASP6,BIRC3
CASP6,CASP8
CASP6,EIF4A1
CASP6,EIF4G1
CASP6,ACTB
LEF1,AXIN1
LEF1,HDAC1
LEF1,HIST3H3
LEF1,HNF4A
LEF1,GJA1
LEF1,AXIN2
LEF1,HIST2H2BE
LEF1,CCND1
LEF1,SMAD3
LEF1,EP300
LEF1,CTNNB1
LEF1,HIST2H2AC
LEF1,CREBBP
LEF1,ILK
LEF1,NLK
LEF1,HIST1H2BB
LEF1,AES
